DIPUTACIONES LOCALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040001B0100,'040001B010003,'04,CAMPECHE,'007,007. TENABO,'0001,1,B,0,1,3,,,,,1,2,1,26,13,39,31,48,22,17,23,19,13,38,41,,,,557,,,,,,,,,,,
'040002B0100,'040002B010003,'04,CAMPECHE,'007,007. TENABO,'0002,1,B,0,1,3,,,,,1,2,1,28,22,28,3,7,34,43,12,13,47,36,41,,,,655,,,,,,,,,,,
'040003B0100,'040003B010003,'04,CAMPECHE,'007,007. TENABO,'0003,1,B,0,1,3,,,,,1,2,1,39,42,8,48,7,26,1,46,11,2,22,15,,,,661,,,,,,,,,,,
'040004B0100,'040004B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,B,0,1,3,,,,,1,2,1,25,29,12,11,40,17,2,12,41,28,40,48,,,,723,,,,,,,,,,,
'040004C0100,'040004C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,C,0,1,3,,,,,1,2,1,21,18,6,22,36,9,14,23,42,17,7,13,,,,723,,,,,,,,,,,
'040004C0200,'040004C020003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,2,C,0,1,3,,,,,1,2,1,17,22,12,19,37,49,27,13,7,3,15,28,,,,722,,,,,,,,,,,
'040004C0300,'040004C030003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,3,C,0,1,3,,,,,1,2,1,11,32,3,11,21,16,14,22,15,9,6,2,,,,722,,,,,,,,,,,
'040004C0400,'040004C040003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,4,C,0,1,3,,,,,1,2,1,31,29,2,15,22,24,42,31,13,8,33,21,,,,722,,,,,,,,,,,
'040004E0100,'040004E010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,E,0,1,3,,,,,1,2,1,8,36,42,38,1,43,45,3,13,34,39,11,,,,703,,,,,,,,,,,
'040004E0101,'040004E010103,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,E,1,1,3,,,,,1,2,1,47,3,30,36,36,18,12,15,40,30,42,7,,,,703,,,,,,,,,,,
'040004E0102,'040004E010203,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,E,2,1,3,,,,,1,2,1,42,29,40,20,38,15,24,35,38,21,44,9,,,,703,,,,,,,,,,,
'040004E0103,'040004E010303,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,E,3,1,3,,,,,1,2,1,32,45,13,31,13,15,20,28,49,5,14,41,,,,702,,,,,,,,,,,
'040004E0104,'040004E010403,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,1,E,4,1,3,,,,,1,2,1,5,21,3,4,2,22,14,46,38,25,36,39,,,,702,,,,,,,,,,,
'040004E0200,'040004E020003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,2,E,0,1,3,,,,,1,2,1,8,45,20,47,3,4,8,5,43,43,44,39,,,,720,,,,,,,,,,,
'040004E0201,'040004E020103,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,2,E,1,1,3,,,,,1,2,1,39,22,10,42,33,8,14,23,42,41,4,5,,,,720,,,,,,,,,,,
'040004E0202,'040004E020203,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,2,E,2,1,3,,,,,1,2,1,7,42,41,8,39,1,44,41,4,24,38,36,,,,720,,,,,,,,,,,
'040004E0203,'040004E020303,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,2,E,3,1,3,,,,,1,2,1,35,25,35,14,46,32,40,3,36,31,10,27,,,,719,,,,,,,,,,,
'040004E0204,'040004E020403,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,2,E,4,1,3,,,,,1,2,1,34,14,41,30,39,36,2,34,4,3,21,40,,,,719,,,,,,,,,,,
'040005B0100,'040005B010003,'04,CAMPECHE,'007,007. TENABO,'0005,1,B,0,1,3,,,,,1,2,1,41,20,23,26,47,33,42,43,47,29,13,37,,,,523,,,,,,,,,,,
'040005C0100,'040005C010003,'04,CAMPECHE,'007,007. TENABO,'0005,1,C,0,1,3,,,,,1,2,1,42,23,27,44,5,15,8,28,38,19,46,42,,,,523,,,,,,,,,,,
'040006B0100,'040006B010003,'04,CAMPECHE,'007,007. TENABO,'0006,1,B,0,1,3,,,,,1,2,1,5,49,37,8,25,22,3,1,38,32,22,49,,,,516,,,,,,,,,,,
'040006C0100,'040006C010003,'04,CAMPECHE,'007,007. TENABO,'0006,1,C,0,1,3,,,,,1,2,1,8,1,2,38,28,38,19,40,35,38,34,26,,,,515,,,,,,,,,,,
'040007B0100,'040007B010003,'04,CAMPECHE,'007,007. TENABO,'0007,1,B,0,1,3,,,,,1,2,1,17,39,12,23,44,28,7,4,3,39,15,39,,,,489,,,,,,,,,,,
'040007C0100,'040007C010003,'04,CAMPECHE,'007,007. TENABO,'0007,1,C,0,1,3,,,,,1,2,1,21,44,48,31,33,7,44,16,35,45,46,36,,,,489,,,,,,,,,,,
'040008B0100,'040008B010003,'04,CAMPECHE,'007,007. TENABO,'0008,1,B,0,1,3,,,,,1,2,1,13,46,30,16,45,14,21,7,32,22,11,17,,,,381,,,,,,,,,,,
'040008C0100,'040008C010003,'04,CAMPECHE,'007,007. TENABO,'0008,1,C,0,1,3,,,,,1,2,1,29,3,31,40,22,15,2,43,35,39,1,37,,,,381,,,,,,,,,,,
'040009B0100,'040009B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,1,B,0,1,3,,,,,1,2,1,25,4,41,35,36,1,47,27,1,31,48,32,,,,677,,,,,,,,,,,
'040009C0100,'040009C010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,1,C,0,1,3,,,,,1,2,1,11,3,26,14,3,34,23,32,42,46,29,20,,,,677,,,,,,,,,,,
'040009C0200,'040009C020003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,2,C,0,1,3,,,,,1,2,1,7,42,1,16,18,44,29,45,48,14,2,26,,,,677,,,,,,,,,,,
'040009C0300,'040009C030003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,3,C,0,1,3,,,,,1,2,1,38,23,37,32,40,42,4,25,9,29,2,43,,,,677,,,,,,,,,,,
'040009C0400,'040009C040003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,4,C,0,1,3,,,,,1,2,1,49,42,8,13,26,44,9,32,35,41,39,41,,,,677,,,,,,,,,,,
'040009C0500,'040009C050003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,5,C,0,1,3,,,,,1,2,1,28,36,4,11,10,6,27,22,34,41,5,15,,,,676,,,,,,,,,,,
'040009C0600,'040009C060003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0009,6,C,0,1,3,,,,,1,2,1,10,36,3,30,28,6,5,28,11,5,49,49,,,,676,,,,,,,,,,,
'040010B0100,'040010B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0010,1,B,0,1,3,,,,,1,2,1,42,10,48,7,39,28,45,18,44,45,11,3,,,,528,,,,,,,,,,,
'040010C0100,'040010C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0010,1,C,0,1,3,,,,,1,2,1,17,23,11,44,40,23,28,3,16,34,31,3,,,,528,,,,,,,,,,,
'040011B0100,'040011B010003,'04,CAMPECHE,'007,007. TENABO,'0011,1,B,0,1,3,,,,,1,2,1,34,16,16,24,16,2,24,15,29,44,22,16,,,,457,,,,,,,,,,,
'040011C0100,'040011C010003,'04,CAMPECHE,'007,007. TENABO,'0011,1,C,0,1,3,,,,,1,2,1,48,48,4,44,46,27,1,5,2,20,9,14,,,,456,,,,,,,,,,,
'040012B0100,'040012B010003,'04,CAMPECHE,'007,007. TENABO,'0012,1,B,0,1,3,,,,,1,2,1,9,42,49,45,29,6,32,22,4,41,17,24,,,,510,,,,,,,,,,,
'040012C0100,'040012C010003,'04,CAMPECHE,'007,007. TENABO,'0012,1,C,0,1,3,,,,,1,2,1,39,40,37,16,5,36,17,4,47,42,10,36,,,,510,,,,,,,,,,,
'040012C0200,'040012C020003,'04,CAMPECHE,'007,007. TENABO,'0012,2,C,0,1,3,,,,,1,2,1,14,35,34,26,24,43,28,9,39,33,10,14,,,,509,,,,,,,,,,,
'040012S0100,'040012S010003,'04,CAMPECHE,'007,007. TENABO,'0012,1,S,0,1,3,,,,,1,2,1,46,22,24,19,1,49,47,13,20,20,33,16,,,,0,,,,,,,,,,,
'040013B0100,'040013B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0013,1,B,0,1,3,,,,,1,2,1,29,20,38,9,33,41,27,36,22,7,27,9,,,,625,,,,,,,,,,,
'040013C0100,'040013C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0013,1,C,0,1,3,,,,,1,2,1,43,11,30,46,27,8,4,12,10,16,18,6,,,,625,,,,,,,,,,,
'040014B0100,'040014B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0014,1,B,0,1,3,,,,,1,2,1,15,34,43,16,33,46,41,11,11,40,21,11,,,,544,,,,,,,,,,,
'040014C0100,'040014C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0014,1,C,0,1,3,,,,,1,2,1,22,42,34,15,37,32,5,11,47,11,27,38,,,,544,,,,,,,,,,,
'040015B0100,'040015B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0015,1,B,0,1,3,,,,,1,2,1,44,43,38,41,47,6,12,30,30,8,3,24,,,,576,,,,,,,,,,,
'040015C0100,'040015C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0015,1,C,0,1,3,,,,,1,2,1,29,19,46,30,45,14,15,35,4,6,25,15,,,,576,,,,,,,,,,,
'040016B0100,'040016B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0016,1,B,0,1,3,,,,,1,2,1,38,14,37,1,24,7,18,47,32,3,9,49,,,,599,,,,,,,,,,,
'040016C0100,'040016C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0016,1,C,0,1,3,,,,,1,2,1,6,7,12,25,15,28,1,16,2,23,25,43,,,,599,,,,,,,,,,,
'040017B0100,'040017B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,1,B,0,2,3,,,,,1,2,1,43,41,32,35,5,19,9,8,2,33,8,19,,,,701,,,,,,,,,,,
