GUBERNATURA
01/06/2021 18:52 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,0,0,0,0,0,0,0,0,0,,0,

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040001B0100,'040001B010005,'04,CAMPECHE,'007,007. TENABO,'0001,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,
'040002B0100,'040002B010005,'04,CAMPECHE,'007,007. TENABO,'0002,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,655,,,,,,,,,,,
'040003B0100,'040003B010005,'04,CAMPECHE,'007,007. TENABO,'0003,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,
'040004B0100,'040004B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,
'040004C0100,'040004C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,
'040004C0200,'040004C020005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,
'040004C0300,'040004C030005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,03,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,
'040004C0400,'040004C040005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,04,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,
'040004E0100,'040004E010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,E,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,
'040004E0101,'040004E010105,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,E,01,1,5,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,
'040004E0102,'040004E010205,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,E,02,1,5,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,
'040004E0103,'040004E010305,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,E,03,1,5,,,,,,,,,,,,,,,,,,,,,,,,702,,,,,,,,,,,
'040004E0104,'040004E010405,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,01,E,04,1,5,,,,,,,,,,,,,,,,,,,,,,,,702,,,,,,,,,,,
'040004E0200,'040004E020005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,02,E,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,
'040004E0201,'040004E020105,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,02,E,01,1,5,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,
'040004E0202,'040004E020205,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,02,E,02,1,5,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,
'040004E0203,'040004E020305,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,02,E,03,1,5,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
'040004E0204,'040004E020405,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0004,02,E,04,1,5,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
'040005B0100,'040005B010005,'04,CAMPECHE,'007,007. TENABO,'0005,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,
