JUNTAS
06/06/2021 22:40 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
271,0,0,0,0,0,0,0,0,0,0,0,0

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040118B0100,040118B010007,04,CAMPECHE,004,HAMPOLOL,0118,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,
040118C0100,040118C010007,04,CAMPECHE,004,HAMPOLOL,0118,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,
040119B0100,040119B010007,04,CAMPECHE,004,HAMPOLOL,0119,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,,,,,
040120B0100,040120B010007,04,CAMPECHE,004,HAMPOLOL,0120,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,,,,,
040120C0100,040120C010007,04,CAMPECHE,004,HAMPOLOL,0120,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,,,,,
040121B0100,040121B010007,04,CAMPECHE,004,HAMPOLOL,0121,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,,,,
040121C0100,040121C010007,04,CAMPECHE,004,HAMPOLOL,0121,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,,,,
040128B0100,040128B010007,04,CAMPECHE,002,TIXMUCUY,0128,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,
040131B0100,040131B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0131,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,
040132B0100,040132B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0132,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,
