DIPUTACIONES LOCALES
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1200,976,3,976,81.3333,940,78.3333,2.1666,36,528596,327586,327475,61.9518

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040001B0100,040001B010003,04,CAMPECHE,007,007. TENABO,0001,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,
040002B0100,040002B010003,04,CAMPECHE,007,007. TENABO,0002,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,655,,,,,,,,,,,
040003B0100,040003B010003,04,CAMPECHE,007,007. TENABO,0003,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,661,,TODOS ILEGIBLES O SIN DATO,0,F,ff563220f51dcb054077cf5161244a522d031c2e34de1a114143de45445e5fed,07/06/2021 12:51:00,07/06/2021 12:56:18,07/06/2021 13:00:06,CATD,ESCANER,ACTA PREP
040004B0100,040004B010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,723,,TODOS ILEGIBLES O SIN DATO,0,F,1b7ef6a74433ee72c847b1285cbb3fade0ffecc4e4b00694f6301c8c0f2502ec,07/06/2021 02:30:00,07/06/2021 03:02:34,07/06/2021 03:20:05,CATD,ESCANER,ACTA PREP
040004C0100,040004C010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,C,00,1,3,377,371,5,375,15,62,4,8,8,165,89,6,2,2,2,0,0,0,0,16,375,379,723,5,,1,F,aa46c06be1e934c77d2c16a8304e7e6fbb3291c147b2ecc7e47ef4b97aaf90f2,07/06/2021 02:56:00,07/06/2021 02:59:09,07/06/2021 03:20:05,CATD,ESCANER,ACTA PREP
040004C0200,040004C020003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,C,00,1,3,380,362,10,362,17,67,3,9,8,150,86,0,1,1,2,5,0,0,0,13,352,362,722,10,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,01e53fda5c9d20d92ce601adc0c1fd7e6d8bc26c05db36c28cfbaf2acdfcd199,07/06/2021 02:35:00,07/06/2021 02:47:16,,CATD,ESCANER,ACTA PREP
040004C0300,040004C030003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,03,C,00,1,3,401,333,7,0,18,68,3,7,5,137,80,4,0,3,0,1,0,0,0,0,329,326,722,7,,1,F,340c3ceb4fbcf027afbf855ed662a779a8df67f8b0f02205ae58a56cc1e6f89e,07/06/2021 02:50:00,07/06/2021 02:55:11,07/06/2021 03:00:08,CATD,ESCANER,ACTA PREP
040004C0400,040004C040003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,04,C,00,1,3,397,335,0,0,17,66,2,3,3,143,81,1,0,1,4,2,0,0,0,7,330,330,722,0,,1,F,59f07f0efa22364d19ed0db9dd0d41ac60f72d48c561b006c5d0eeb197845a69,07/06/2021 03:15:00,07/06/2021 03:19:02,07/06/2021 03:40:05,CATD,ESCANER,ACTA PREP
040004E0100,040004E010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,E,00,1,3,358,381,5,396,15,81,4,9,3,137,126,1,4,0,6,3,0,1,0,6,396,396,703,5,,1,F,7117e5e2224aad1d423f061293c005191b0eb839d4daaeb19779d7eda84c771c,07/06/2021 01:33:00,07/06/2021 01:37:28,07/06/2021 01:40:06,CATD,ESCANER,ACTA PREP
040004E0101,040004E010103,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,E,01,1,3,348,366,0,361,14,62,1,8,7,162,85,8,4,0,2,1,0,0,0,4,362,358,703,0,,1,F,7d10e4e8b3243ff2b18e2617871daf0737278057054eaf48188be6b6dec6197e,07/06/2021 06:03:00,07/06/2021 06:09:34,07/06/2021 06:20:04,CATD,ESCANER,ACTA PREP
