GUBERNATURA
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,969,3,966,81.1764,928,77.9831,2.1008,38,524789,328842,327026,62.3157

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040001B0100,040001B010005,04,CAMPECHE,007,007. TENABO,0001,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,
040002B0100,040002B010005,04,CAMPECHE,007,007. TENABO,0002,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,655,,,,,,,,,,,
040003B0100,040003B010005,04,CAMPECHE,007,007. TENABO,0003,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,661,,TODOS ILEGIBLES O SIN DATO,0,F,37746298f14d71a5a09725eff32e6f0b669bd0fcb24b311084a77caf71f06c27,07/06/2021 12:48:00,07/06/2021 12:55:30,07/06/2021 13:00:06,CATD,ESCANER,ACTA PREP
040004B0100,040004B010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,B,00,1,5,381,356,6,362,12,78,1,3,4,180,69,2,1,1,5,1,0,0,2,0,3,362,362,723,6,,1,F,55b338e4f9c47acf6f6eec697a579b4b7fc1fb6ab4abbd13af280efcf9681861,07/06/2021 02:24:00,07/06/2021 02:26:34,07/06/2021 02:40:07,CATD,ESCANER,ACTA PREP
040004C0100,040004C010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,C,00,1,5,377,371,5,379,8,66,2,4,8,190,79,4,0,2,3,0,0,0,2,0,11,379,379,723,5,,1,F,e6a35cb5298ed1fbbfadb54825d8269013690109e1685b3b3ec09b3b1c727957,07/06/2021 02:54:00,07/06/2021 02:56:16,07/06/2021 03:00:08,CATD,ESCANER,ACTA PREP
040004C0200,040004C020005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,02,C,00,1,5,380,362,10,362,6,87,2,4,3,175,0,0,0,0,3,5,0,0,0,0,8,362,293,722,10,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,548bc97dd2d0f7872da2f33aab60f7eeff515f6241e89c73c797954b4c0a3dae,07/06/2021 02:33:00,07/06/2021 02:36:49,07/06/2021 03:00:08,CATD,ESCANER,ACTA PREP
040004C0300,040004C030005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,03,C,00,1,5,401,333,7,0,10,70,2,8,5,161,65,0,2,3,3,1,0,0,0,0,5,335,335,722,7,,1,F,7b2f1956fa1354f273066b6169eefa3ef671228c859f9ffcb4e5df0f1a7a2d27,07/06/2021 02:47:00,07/06/2021 02:49:48,07/06/2021 03:00:08,CATD,ESCANER,ACTA PREP
040004C0400,040004C040005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,04,C,00,1,5,394,335,0,383,15,76,5,4,1,172,95,2,0,0,4,1,0,0,2,0,6,383,383,722,0,,1,F,e2e57b345349ce7201a2edcd775532a7e9fd4d73b2d92312ff664b7e08c87ff2,07/06/2021 03:13:00,07/06/2021 03:19:02,07/06/2021 03:40:05,CATD,ESCANER,ACTA PREP
040004E0100,040004E010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,E,00,1,5,337,381,5,410,8,77,4,3,2,207,88,1,1,1,7,2,0,0,3,0,6,410,410,703,5,,1,F,70dd20a4befd9dd89760605e2b9aa581d0fba125acd36cf91e5c709acf3ddea7,07/06/2021 05:03:00,07/06/2021 05:06:27,07/06/2021 05:20:05,CATD,ESCANER,ACTA PREP
040004E0101,040004E010105,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0004,01,E,01,1,5,350,366,0,0,7,78,2,2,2,183,72,5,1,0,4,0,0,1,2,0,4,363,363,703,0,,1,F,ff8bc76f1a8c55ae091ebecb1bc06536cc5e8af54a64a72fa27f904b6759aacd,07/06/2021 05:30:00,07/06/2021 05:31:42,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
