JUNTAS
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
271,166,3,163,60.1476,157,57.9335,2.214,6,76230,52400,0,68.7393

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040118B0100,040118B010007,04,CAMPECHE,004,HAMPOLOL,0118,01,B,00,2,7,199,307,0,307,31,85,0,1,0,30,104,0,4,0,1,2,0,0,0,9,307,267,486,0,,1,F,be46bff70a9f033765b9e33262dd48b824d3b2e5aafcdcec1b502427cf624f35,07/06/2021 11:00:00,07/06/2021 11:10:31,,CATD,ESCANER,ACTA PREP
040118C0100,040118C010007,04,CAMPECHE,004,HAMPOLOL,0118,01,C,00,2,7,166,339,0,338,38,69,1,0,0,32,145,0,32,0,1,8,1,0,0,11,338,338,485,0,,1,F,b172e18edac8bb541863b7f75b622726a1913b2f3d30b6aaa3e04af732ab39f5,07/06/2021 10:58:00,07/06/2021 11:02:32,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040119B0100,040119B010007,04,CAMPECHE,004,HAMPOLOL,0119,01,B,00,2,7,89,394,3,344,25,60,1,0,1,88,62,1,95,1,2,2,0,0,0,6,344,344,413,3,,1,F,57af2285269a5b2c602f32cbd82b8bb21e4eee8e9a33730430f441ec5aab5255,07/06/2021 11:30:00,07/06/2021 11:39:19,,CATD,ESCANER,ACTA PREP
040120B0100,040120B010007,04,CAMPECHE,004,HAMPOLOL,0120,01,B,00,2,7,135,314,0,314,15,75,2,1,0,29,39,5,140,0,1,1,1,0,0,5,314,314,429,0,,1,F,e49d2f21b8d64e027c6b3ba78c01910c94ea66c8fe3feba43bd6a6a107f8c41b,07/06/2021 11:33:00,07/06/2021 11:36:55,07/06/2021 12:00:06,CATD,ESCANER,ACTA PREP
040120C0100,040120C010007,04,CAMPECHE,004,HAMPOLOL,0120,01,C,00,2,7,118,331,0,331,19,61,0,0,1,57,36,5,138,0,2,0,0,0,0,12,331,331,429,0,,1,F,4eb718c25c7913b0884884b0eb3cd0acfbe41b4fbb1591734a03affa2c79de47,07/06/2021 11:23:00,07/06/2021 11:27:36,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040121B0100,040121B010007,04,CAMPECHE,004,HAMPOLOL,0121,01,B,00,2,7,140,342,3,0,27,110,3,2,2,37,0,0,41,1,0,0,0,0,0,14,395,237,465,3,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,b3728b455c6abd23184b1e7f47f7f4de855e9dd6c95a013f7d0305710fd768dd,07/06/2021 10:53:00,07/06/2021 11:12:53,,CATD,ESCANER,ACTA PREP
040121C0100,040121C010007,04,CAMPECHE,004,HAMPOLOL,0121,01,C,00,2,7,158,327,1,328,27,97,0,7,0,43,88,2,42,1,7,3,1,0,0,1,328,319,465,1,,1,F,0f1d9bb64ba6cecd28da53491d1a3cbecd6aedae8ea5308f87bad41ad0396e97,07/06/2021 11:01:00,07/06/2021 11:05:48,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040128B0100,040128B010007,04,CAMPECHE,002,TIXMUCUY,0128,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,
040131B0100,040131B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0131,01,B,00,2,7,,,,,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,
040132B0100,040132B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0132,01,B,00,2,7,57,152,16,0,8,36,11,20,0,43,48,0,0,0,0,0,0,2,0,0,168,168,205,16,,1,F,7f9c552a22fca102eb1fca2808c671f7648cfa1fbb1632a9a3d352726ae7d9be,07/06/2021 11:19:00,07/06/2021 11:25:56,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
