AYUNTAMIENTOS
07/06/2021 14:40 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1193,927,3,924,77.4518,905,75.8591,1.5926,19,501897,319528,318877,63.5343

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,CAND_IND_1,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040001B0100,040001B010002,04,CAMPECHE,001,CAMPECHE,0001,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,
040002B0100,040002B010002,04,CAMPECHE,001,CAMPECHE,0002,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,655,,,,,,,,,,,
040003B0100,040003B010002,04,CAMPECHE,001,CAMPECHE,0003,01,B,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,
040004B0100,040004B010002,04,CAMPECHE,001,CAMPECHE,0004,01,B,00,1,2,381,356,6,362,23,59,2,2,1,174,83,3,2,1,,5,0,0,0,0,7,362,362,723,6,,1,F,b6e79abf7b207b41b460e35a04bd8624071f38feac6727fec923e4350cff67fa,07/06/2021 03:12:00,07/06/2021 03:17:16,07/06/2021 03:20:05,CATD,ESCANER,ACTA PREP
040004C0100,040004C010002,04,CAMPECHE,001,CAMPECHE,0004,01,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,723,,TODOS ILEGIBLES O SIN DATO,0,F,e1533bfb09b0634c3faf8140ff55c5e20e09e39ce7090dc415a8acf8b1f7c9b4,07/06/2021 01:38:00,07/06/2021 01:48:57,07/06/2021 02:20:05,CATD,ESCANER,ACTA PREP
040004C0200,040004C020002,04,CAMPECHE,001,CAMPECHE,0004,02,C,00,1,2,380,362,10,362,16,65,3,12,3,172,73,1,0,0,,2,4,0,0,0,11,362,362,722,10,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,64db0315c41287ee4b13aa5d29a914e30497b30d7adfc4e550ef11cd89b7919c,07/06/2021 05:45:00,07/06/2021 05:48:02,07/06/2021 06:00:06,CATD,ESCANER,ACTA PREP
040004C0300,040004C030002,04,CAMPECHE,001,CAMPECHE,0004,03,C,00,1,2,401,333,7,0,11,65,2,2,6,172,65,3,0,2,,3,2,0,0,0,4,337,337,722,7,,1,F,0876152e22d4963c2a3009dc3ada41314b2d3be70c85809228503245a8b294b6,07/06/2021 06:38:00,07/06/2021 06:41:33,07/06/2021 07:00:08,CATD,ESCANER,ACTA PREP
040004C0400,040004C040002,04,CAMPECHE,001,CAMPECHE,0004,04,C,00,1,2,397,335,0,342,13,65,3,3,2,185,84,0,1,1,,4,1,0,0,0,6,342,368,722,0,,1,F,ba803679ee4632b47a2f4b960b6ef523b922d1a4698b67b3609c0ff774fac339,07/06/2021 01:40:00,07/06/2021 01:53:40,07/06/2021 02:00:07,CATD,ESCANER,ACTA PREP
040004E0100,040004E010002,04,CAMPECHE,001,CAMPECHE,0004,01,E,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,703,,TODOS ILEGIBLES O SIN DATO,0,F,1e85697db7532ae3d5ff922645c1bd921556affbce29429a92bcdd113ec52c12,07/06/2021 05:15:00,07/06/2021 05:21:35,07/06/2021 05:40:05,CATD,ESCANER,ACTA PREP
040004E0101,040004E010102,04,CAMPECHE,001,CAMPECHE,0004,01,E,01,1,2,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,
040004E0102,040004E010202,04,CAMPECHE,001,CAMPECHE,0004,01,E,02,1,2,0,332,0,0,12,60,1,4,2,153,79,2,1,0,,7,0,0,0,0,9,0,330,703,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,dba718d86b53124a718c602f9cc5c763bba0ac3c3a418b22cc6854eec2a623e8,07/06/2021 06:14:00,07/06/2021 06:18:41,07/06/2021 06:40:05,CATD,ESCANER,ACTA PREP
040004E0103,040004E010302,04,CAMPECHE,001,CAMPECHE,0004,01,E,03,1,2,351,363,7,372,9,64,4,4,5,67,94,0,4,1,,5,3,1,1,0,11,372,273,702,7,,1,F,ee74e90c7393839e08da0768c503498df14364f631329d536aa21430ac4614b7,07/06/2021 07:46:00,07/06/2021 07:48:35,07/06/2021 08:00:07,CATD,ESCANER,ACTA PREP
040004E0104,040004E010402,04,CAMPECHE,001,CAMPECHE,0004,01,E,04,1,2,365,347,8,0,14,70,3,2,2,171,84,1,1,1,,0,1,0,0,0,8,358,358,702,8,,1,F,1d6987ac2fc2ea7fc7abbd561dfc5dc6b2d882df4f83d37e0c209ae9b916d3c8,07/06/2021 01:47:00,07/06/2021 01:58:30,07/06/2021 02:20:04,CATD,ESCANER,ACTA PREP
040004E0200,040004E020002,04,CAMPECHE,001,CAMPECHE,0004,02,E,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,
040004E0201,040004E020102,04,CAMPECHE,001,CAMPECHE,0004,02,E,01,1,2,419,349,5,350,17,63,0,2,2,194,56,3,2,2,,6,0,0,0,0,3,0,350,720,5,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,15a6e0dd239be89c036b9c7698804d41aa3b4fb342f8bdb4165105b068f36843,07/06/2021 03:45:00,07/06/2021 03:49:24,07/06/2021 04:00:06,CATD,ESCANER,ACTA PREP
040004E0202,040004E020202,04,CAMPECHE,001,CAMPECHE,0004,02,E,02,1,2,421,319,3,319,12,54,2,4,1,156,77,0,1,3,,3,0,0,0,0,6,319,319,720,3,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,dad67122c71dc9047a99b222232e237d04c36a21b066b6a960af557eb1538141,07/06/2021 00:38:00,07/06/2021 00:43:22,07/06/2021 01:00:06,CATD,ESCANER,ACTA PREP
040004E0203,040004E020302,04,CAMPECHE,001,CAMPECHE,0004,02,E,03,1,2,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,
040004E0204,040004E020402,04,CAMPECHE,001,CAMPECHE,0004,02,E,04,1,2,373,11,374,367,16,67,2,14,4,181,67,6,2,1,,2,0,0,1,0,4,367,367,719,374,,1,F,cd82a1dcf26e83ddb44188a7801c0186c86a3d96d7566e8b861563f365e19039,07/06/2021 02:33:00,07/06/2021 02:39:15,07/06/2021 03:00:08,CATD,ESCANER,ACTA PREP
040005B0100,040005B010002,04,CAMPECHE,001,CAMPECHE,0005,01,B,00,1,2,142,398,0,0,17,90,4,4,4,169,95,1,3,2,,4,0,0,0,0,5,398,398,523,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,431ed7f819c64d61c58a419d441c5f235233abc72d79a0839509e18651295d3f,07/06/2021 03:56:00,07/06/2021 04:02:29,07/06/2021 04:20:04,CATD,ESCANER,ACTA PREP
