ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
4,1,PT,JUANILDA REYNA JOSEFA ORTEGA PAREDEZ,LAURA SURISADAI CRUZ MENDEZ
4,1,PVEM,GUSTAVO ADOLFO AKE CAB,ANA LIZBETH DE LA CRUZ EK
4,1,MC,FABRICIO FERNANDO PEREZ MENDOZA,JOSE RODRIGO TORRES CHULIN
4,1,MOR,JAZMIN DEL ROCIO CERVERA BARBOSA,MARLEN MORENO ALMANZA
4,1,PES,MAURO ANDRES GOMEZ ORDAZ,DANIEL ALFONSO ORDAZ MENDOZA
4,1,RSP,ALBELDA DEL CARMEN CASTILLO PAZ,ALEJANDRA BERENICE AGUILAR RAMIREZ
4,1,FM,OLIVIA YAZMIN SANTIAGO MARTINEZ,ANGELY DARIANA MARTINEZ PACHECO
4,1,SUM-PAN-PRI-PRD,JHOSUE JESUS RODRIGUEZ GOLIB,RAMON ALEJANDRO FLORES GONZALEZ
4,2,PT,ADRIANA VILLANEY MENDEZ SOLIS,HERMELINDA DOMINGUEZ VELAZQUEZ
4,2,PVEM,ALMA SELENE NOVELO PACHECO,VIRGINIA ARACELLY DZIB ROCHA
4,2,MC,DANIELA GUADALUPE MARTINEZ HERNANDEZ,SHIMIZU SU LIN CHIU HOIL
4,2,MOR,JOSE HECTOR HERNAN MALAVE GAMBOA,JOHANA RUBI CAAMAL DELGADO
4,2,PES,MANUEL JESUS DE ATOCHA COJ TREJO,OSCAR JAVIER TOVAR LEON
4,2,RSP,MARIA DEL CARMEN LOPEZ HERNANDEZ,CRISTINA TUT DZIB
4,2,FM,KATHERINE JAZMIN PACHECO ESCUDERO,BLANCA BERENICE FLORES ORTIZ
4,2,SUM-PAN-PRI-PRD,VILMA SARAHI CERVERA ECHEVERRIA,SAMANTHA GUADALUPE AVILA AVILA
4,3,PT,JAIME ANTONIO OJEDA PERALTA,HERIBERTO HOIL VAZQUEZ
4,3,PVEM,EMMANUEL FRANCISCO YNURRETA PANTI,JOSE DEL CARMEN QUEN YES
4,3,MC,HIPSI MARISOL ESTRELLA GUILLERMO,LUZ DE LOS ANGELES ORTIZ GAMBOA
4,3,MOR,MARTHA ALICIA ANGULO GARCIA,FATIMA LISSETH MORA DOMINGUEZ
4,3,PES,JOSE ALFREDO RODRIGUEZ CRUZ,ALAN EDUARDO CRUZ CANUL
4,3,RSP,JUAN FROYLAN VERA PECH,ISAY DEL ROSARIO ALEJO ZACARIAS
4,3,FM,ILIANA DEL SOCORRO COSGAYA LOPEZ,MARIA ELENA VALTIERRA MARTINEZ
4,3,SUM-PAN-PRI-PRD,ERIKA SOLEDAD MENGUAL OREZA,PAULINA SAUCEDO RODRIGUEZ
4,4,PT,EDUARDO ENRIQUE HERNANDEZ QUIJANO,ADRIAN ALEJANDRO CANALES CHABLE
4,4,PVEM,EDUARDO ALONSO CELIS PEREZ,LUIS HUMBERTO BRICEÑO BERZUNZA
4,4,MC,JESUS HUMBERTO AGUILAR DIAZ,ALDO ROMAN CONTRERAS UC
4,4,MOR,GLADYS EUNICE ZAVALA SALAZAR,BEATRIZ DEL JESUS LOPEZ MENDEZ
4,4,PES,KENIA IRLANDA MORALES BAÑOS,MARIA DE LA LUZ LARA INTERIAN
4,4,RSP,CARLOS JESUS GUTIERREZ VAZQUEZ,MADDIEL BEZAI DZIB
4,4,FM,GABRIELA DEL JESUS DZUL EK,ISELA YERALDINE TUN TUCUCH
